LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.68264,11.87068,53,11,511,2,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,0,2016-12-15T10:45:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68264,11.87068,53,11,511,2,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,0,2016-12-15T10:45:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68372,11.86839,72,276,511,3,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,0,2016-12-15T10:47:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68372,11.86839,72,276,511,3,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,1,2016-12-15T10:47:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68245,11.85673,89,251,511,2,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,1,2016-12-15T10:49:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68245,11.85673,89,251,511,2,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,1,2016-12-15T10:49:09.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68162,11.85162,91,253,511,3,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,1,2016-12-15T10:51:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68162,11.85162,91,253,511,3,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,1,2016-12-15T10:51:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68073,11.84637,91,253,511,2,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,1,2016-12-15T10:53:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.68162,11.85162,91,253,511,3,,SE,10,0,KBV 475,3,322772,4,5,2,NA,NA,1,2016-12-15T10:53:07.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
