LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.72171,11.98117,0,312,57,2,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72171,11.98117,0,312,57,3,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72172,11.98113,1,312,56,3,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72175,11.98111,0,312,57,2,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72175,11.98111,0,312,57,4,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72172,11.98114,0,312,55,3,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72172,11.98114,0,312,55,5,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72172,11.98114,0,312,55,7,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72169,11.9812,1,312,55,3,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72175,11.98108,0,312,55,2,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72175,11.98108,0,312,55,3,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72175,11.98108,0,312,55,6,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72175,11.98108,0,312,55,8,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.72171,11.98112,0,312,56,4,GOTHENBURG,SE,26,0,SOUND PROVIDER,3,324200,9,10,4,300,54,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
