LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.77186,11.62096,0,0,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77186,11.62096,0,0,511,5,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77187,11.62097,0,283,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77187,11.62097,0,283,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77187,11.62095,0,259,511,3,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77189,11.62099,0,224,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77189,11.62099,0,224,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77188,11.62096,0,0,511,3,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77193,11.62099,0,281,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77193,11.62099,0,281,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77196,11.621,0,284,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77191,11.62096,0,273,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77191,11.62096,0,273,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77191,11.62096,0,273,511,6,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77191,11.62096,0,273,511,8,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77191,11.62096,0,273,511,9,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77193,11.62092,0,292,511,1,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77193,11.62092,0,292,511,5,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77193,11.62092,0,292,511,7,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77193,11.62092,0,292,511,7,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77193,11.62092,0,292,511,9,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77199,11.62102,0,0,511,1,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77199,11.62102,0,0,511,5,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77199,11.62102,0,0,511,7,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:17:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77196,11.6211,0,0,511,1,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77201,11.62105,0,26,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77201,11.62105,0,26,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77197,11.62097,0,0,511,3,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77197,11.62097,0,0,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77196,11.62092,0,5,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77199,11.62105,0,0,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:31:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77199,11.62105,0,0,511,5,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77199,11.62105,0,0,511,7,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77199,11.62102,0,292,511,3,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:37:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77198,11.62097,0,0,511,2,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77198,11.62097,0,0,511,4,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77201,11.62105,0,268,511,3,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77201,11.62105,0,268,511,5,CLASS B,SE,9,NA,SEACURE,3,324465,2,5,1,NA,NA,0,2016-12-13T12:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
