LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.99277,11.74463,180,209,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:13:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.98836,11.73994,180,208,511,3,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:15:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.97548,11.7263,178,208,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:17:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.97115,11.72124,178,212,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:19:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.96073,11.70912,178,211,511,3,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:21:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.95005,11.69726,181,213,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:23:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.93993,11.68377,178,216,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:25:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.93233,11.67266,173,223,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:27:10.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.92457,11.66197,173,206,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:29:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.91468,11.66022,181,186,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:31:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.90961,11.65915,182,185,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:33:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.90328,11.66842,177,206,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:35:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.89178,11.66118,174,196,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:37:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.88344,11.65179,179,206,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:39:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.88344,11.65179,179,206,511,4,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:41:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.86969,11.6414,182,186,511,3,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:43:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.85485,11.64519,175,185,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:45:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.84791,11.64121,176,197,511,3,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:47:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.83387,11.63486,173,191,511,2,CLASS B,SE,11,NA,FATBOY,3,324466,4,6,2,NA,NA,1,2016-12-15T12:49:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
