LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.69076,11.87102,2,336,511,3,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69076,11.87102,2,336,511,3,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69076,11.87102,2,336,511,4,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69076,11.87103,2,336,511,2,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69076,11.87103,2,336,511,4,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69076,11.87103,2,336,511,4,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69077,11.87107,3,0,511,3,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69077,11.87107,3,0,511,3,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69077,11.87107,3,0,511,5,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69077,11.87107,3,0,511,5,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69077,11.87107,3,0,511,7,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69077,11.87107,3,0,511,7,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69078,11.87109,2,358,511,3,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69078,11.87109,2,358,511,3,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.69078,11.87109,2,358,511,5,CLASS B,SE,10,NA,BOATMAN 9,3,324470,4,3,3,NA,NA,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
