LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.99521,11.75163,77,212,215,2,,SE,52,2,KBV 032,3,327518,10,35,5,469,30,1,2016-12-13T13:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.99123,11.74651,101,225,230,2,,SE,52,26,KBV 032,3,327518,10,35,5,469,30,1,2016-12-13T13:33:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98972,11.74212,101,250,250,3,,SE,52,-4,KBV 032,3,327518,10,35,5,469,30,1,2016-12-13T13:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98972,11.74212,101,250,250,3,,SE,52,-4,KBV 032,3,327518,10,35,5,469,30,1,2016-12-13T13:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98878,11.71754,104,287,291,2,,SE,52,14,KBV 032,3,327518,10,35,5,469,30,1,2016-12-13T13:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98981,11.71243,106,293,297,2,,SE,52,24,KBV 032,3,327518,10,35,5,469,30,1,2016-12-13T13:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.99781,11.70603,108,354,355,2,,SE,52,3,KBV 032,3,327518,10,35,5,469,30,1,2016-12-13T13:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.74871,11.60501,92,99,99,2,,SE,52,8,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:27:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.74871,11.60501,92,99,99,4,,SE,52,8,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.7481,11.62337,91,87,87,2,,SE,52,-2,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.74832,11.63264,91,91,92,2,,SE,52,2,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.74736,11.6421,86,111,110,2,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.74558,11.65013,85,118,117,2,,SE,52,2,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:37:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.74287,11.65707,81,142,147,2,,SE,52,20,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.73901,11.66026,70,163,163,2,,SE,52,-3,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:41:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.73545,11.66212,68,167,168,2,,SE,52,11,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:43:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.73349,11.66273,64,172,173,3,,SE,52,6,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:45:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.72944,11.6635,64,176,177,2,,SE,52,-1,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:47:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.72586,11.66386,64,177,178,2,,SE,52,-1,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:49:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.72171,11.66446,66,171,172,2,,SE,52,1,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:51:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.71989,11.66504,66,170,171,1,,SE,52,5,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:53:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.71447,11.66652,66,173,174,2,,SE,52,10,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:55:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.71055,11.66727,56,185,189,2,,SE,52,11,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:57:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.70898,11.66676,39,190,187,3,,SE,52,5,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T12:59:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.70804,11.66624,5,253,192,3,,SE,52,-9,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:01:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.70797,11.66612,2,209,190,3,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:03:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,0,219,183,2,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:05:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,0,219,183,4,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:07:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,244,183,3,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:09:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,244,183,5,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:11:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,290,183,3,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,335,183,2,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:15:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,335,183,4,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,0,79,183,2,,SE,52,-1,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,0,79,183,4,,SE,52,-1,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:21:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,277,183,2,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,277,183,4,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,353,183,2,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,353,183,4,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,353,183,4,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,315,183,4,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,0,172,183,2,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,0,172,183,4,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:37:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
57.70798,11.66605,1,28,183,3,,SE,52,0,KBV 032,3,327518,10,35,5,469,30,1,2016-12-14T13:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,1
