LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.99485,11.75372,91,207,207,2,ESCORTETUG STENUNGST,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.99259,11.75164,90,204,205,2,ESCORTETUG STENUNGST,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98531,11.74373,91,214,215,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98116,11.73848,88,215,216,1,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:31:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.97682,11.73279,88,217,218,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.97213,11.72637,91,215,215,1,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.97011,11.7236,91,214,214,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:37:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.96561,11.7177,91,214,215,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.96149,11.71227,91,213,215,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.95893,11.70868,47,223,221,2,ESCORTETUG STENUNGSU,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.95679,11.70599,46,202,205,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,0,2016-12-13T12:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.95679,11.70599,46,202,205,4,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,0,2016-12-13T12:47:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.95576,11.70456,46,216,213,5,ESCORTETUG STENUNGSU,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.95023,11.69759,48,209,211,2,ESCORTETUG STENUNGSU,SE,28,720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.94793,11.69485,48,219,219,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.94563,11.69154,50,218,217,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:55:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.94466,11.68979,49,231,231,3,ESCORTETUG STENUNGST,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:57:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.94195,11.68537,90,213,214,2,ESCORTETUG STENUNGST,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T12:59:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.93839,11.68629,133,75,67,2,ESCORTETUG STENUNGST,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:01:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.94382,11.69484,96,30,33,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:03:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.94382,11.69484,96,30,33,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.95187,11.70546,114,31,32,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.95768,11.71321,123,38,37,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,0,2016-12-13T13:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.96404,11.71525,100,348,342,2,ESCORTETUG STENUNGSU,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:11:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.96404,11.71525,100,348,342,2,ESCORTETUG STENUNGSU,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:13:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.97964,11.71017,87,348,346,2,ESCORTETUG STENUNGST,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98441,11.70889,70,354,353,2,ESCORTETUG STENUNGST,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98827,11.70809,69,351,350,2,ESCORTETUG STENUNGST,SE,28,720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:21:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.99197,11.70717,68,351,351,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,0,2016-12-13T13:23:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.99284,11.70691,63,350,348,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:25:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.9989,11.70555,56,354,354,2,ESCORTETUG STENUNGSU,SE,28,720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:27:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.99385,11.70621,102,174,175,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,0,2016-12-13T13:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98695,11.70854,102,161,160,2,ESCORTETUG STENUNGSU,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T13:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98385,11.71655,102,84,87,2,ESCORTETUG STENUNGSU,SE,28,720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T14:01:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98424,11.72193,104,71,74,3,ESCORTETUG STENUNGSU,SE,28,720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T14:03:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98647,11.73372,106,68,68,2,ESCORTETUG STENUNGSU,SE,28,-720,BISON,3,327678,12,14,5,106,54,1,2016-12-13T14:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
57.98968,11.74408,107,56,57,2,ESCORTETUG STENUNGSU,SE,28,0,BISON,3,327678,12,14,5,106,54,1,2016-12-13T14:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,0
