LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.911,30.23807,1,182,130,3,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.911,30.23807,1,182,130,3,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.911,30.23807,1,182,130,5,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.911,30.23807,1,182,130,5,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91099,30.23807,0,182,130,3,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91099,30.23807,0,182,130,3,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.911,30.2381,1,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.911,30.2381,1,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.911,30.2381,1,182,130,4,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.911,30.2381,1,182,130,4,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91094,30.23807,0,182,130,3,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91094,30.23807,0,182,130,3,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91097,30.23806,1,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91097,30.23806,1,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91097,30.23806,1,182,130,4,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91097,30.23806,1,182,130,4,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,1,2016-12-13T11:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91096,30.23799,1,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,0,2016-12-13T11:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91096,30.23799,1,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,0,2016-12-13T11:47:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91096,30.23799,1,182,130,4,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,0,2016-12-13T11:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91096,30.23799,1,182,130,4,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,0,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91097,30.23799,0,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,0,2016-12-13T11:51:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91097,30.23799,0,182,130,2,S.PETERSBURG,RU,25,0,VIKHREVOY,3,346012,8,8,4,110,54,0,2016-12-13T11:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
