LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.91201,30.24084,61,254,239,1,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.91201,30.24084,61,254,239,0,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.91066,30.23409,68,236,228,1,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.91066,30.23409,68,236,228,1,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90886,30.23127,76,212,209,2,SPB,RU,25,720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90886,30.23127,76,212,209,2,SPB,RU,25,720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90519,30.22662,49,214,208,2,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90519,30.22662,49,214,208,1,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:39:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90174,30.22211,76,212,206,2,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90174,30.22211,76,212,206,1,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89785,30.21694,76,213,207,2,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89785,30.21694,76,213,207,2,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89585,30.21427,70,213,209,2,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89585,30.21427,70,213,209,1,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89282,30.2097,62,214,209,2,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,0,2016-12-13T15:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89282,30.2097,62,214,209,2,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,0,2016-12-13T15:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.88956,30.20446,74,226,215,2,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:49:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.88956,30.20446,74,226,215,2,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.88791,30.20189,55,206,197,3,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:51:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.88791,30.20189,55,206,197,3,SPB,RU,25,-720,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.88697,30.20084,1,300,277,3,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:53:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.88697,30.20084,1,300,277,3,SPB,RU,25,0,MOSCHNYI,3,346047,8,9,4,110,54,1,2016-12-13T15:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
