LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.63799,19.99073,89,81,84,3,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:39:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.63799,19.99073,89,81,84,3,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:41:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.63957,20.01245,88,89,86,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:43:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.64025,20.02,90,74,81,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:45:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.6409,20.02417,92,75,77,3,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:47:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.6409,20.02417,92,75,77,5,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:49:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.6425,20.03553,91,73,75,4,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:51:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.6425,20.03553,91,73,75,4,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:53:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.64625,20.06107,91,78,79,2,BALTIYSK,RU,26,720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:55:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.64739,20.06954,89,71,79,2,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:57:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.64739,20.06954,89,71,79,4,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T18:59:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.64739,20.06954,89,71,79,6,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:01:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.65105,20.09391,87,74,77,2,BALTIYSK,RU,26,720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:03:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.65168,20.09791,86,70,77,3,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:05:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.65296,20.10595,88,77,76,3,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:07:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.65479,20.11264,87,54,57,3,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:09:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.65932,20.12315,87,44,44,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:11:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.66337,20.13012,89,42,42,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:13:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.66713,20.13664,88,46,42,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:15:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.66913,20.14025,88,47,44,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:17:04.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.67149,20.14377,84,37,41,3,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,1,2016-12-13T19:19:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.68307,20.16451,88,47,49,2,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:25:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.68536,20.1726,88,70,68,2,BALTIYSK,RU,26,720,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:27:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.68876,20.17936,90,44,45,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:29:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.68876,20.17936,90,44,45,2,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:31:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,0
54.69156,20.18682,0,93,84,2,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:33:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,1
54.69156,20.18682,0,93,84,4,BALTIYSK,RU,26,-720,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:35:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,1
54.69157,20.18681,0,81,85,2,BALTIYSK,RU,26,NA,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:37:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,1
54.69157,20.18681,0,81,85,4,BALTIYSK,RU,26,NA,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:39:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,1
54.69153,20.18675,0,65,84,3,BALTIYSK,RU,26,0,TORNADO,3,347113,8,6,2,60,54,0,2016-12-13T19:41:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tug,Kalingrad,1
