LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.66087,20.12347,0,161,332,3,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:09:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66087,20.12347,0,161,332,5,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:11:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66087,20.12347,0,161,332,5,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:13:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66087,20.12347,0,161,332,9,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:15:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66087,20.12347,0,161,332,11,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:17:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66087,20.12347,0,161,332,13,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:19:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66075,20.1235,0,188,311,3,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:21:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66075,20.1235,0,188,311,5,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:23:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66075,20.1235,0,188,311,7,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:25:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
54.66075,20.12348,0,188,313,3,BALTIYSK,RU,54,0,ELENA,3,348785,13,33,5,953,58,0,2016-12-14T10:27:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,1
