LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.90947,30.22997,0,194,511,6,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90947,30.22997,0,194,511,6,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90947,30.22998,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90947,30.22998,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90947,30.22998,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90947,30.22998,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90948,30.23003,0,194,511,3,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90948,30.23003,0,194,511,3,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.22997,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.22997,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.22997,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.22997,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90945,30.22998,0,194,511,3,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90945,30.22998,0,194,511,3,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90941,30.23,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90941,30.23,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90941,30.23,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90941,30.23,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:47:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90947,30.23015,0,194,511,3,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90947,30.23015,0,194,511,3,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.23008,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:51:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.23008,0,194,511,2,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.23008,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:53:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.90943,30.23008,0,194,511,4,SANKT PETERSBURG,RU,104,0,AKADEMIK KARPINSKIY,3,350925,16,48,13,1959,59,0,2016-12-13T11:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
