LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.63573,19.94698,29,100,275,16,BALTIYSK,RU,28,-720,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:43:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.63573,19.94698,29,100,275,18,BALTIYSK,RU,28,-720,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:45:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.63573,19.94698,29,100,275,20,BALTIYSK,RU,28,-720,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:47:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.63573,19.94698,29,100,275,22,BALTIYSK,RU,28,-720,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:49:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.63475,19.94965,9,42,276,2,BALTIYSK,RU,28,-720,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:51:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.63455,19.94619,62,263,261,2,BALTIYSK,RU,28,0,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:53:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.6344,19.94316,65,263,259,3,BALTIYSK,RU,28,0,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:55:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.63383,19.93389,65,260,254,2,BALTIYSK,RU,28,0,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:57:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.63343,19.92976,66,260,257,3,BALTIYSK,RU,28,0,RB-394,3,351107,8,13,2,NA,NA,0,2016-12-15T12:59:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.64704,19.90765,23,77,81,16,BALTIYSK,RU,28,0,RB-394,3,351107,8,13,2,NA,NA,1,2016-12-15T13:37:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.64704,19.90765,23,77,81,18,BALTIYSK,RU,28,0,RB-394,3,351107,8,13,2,NA,NA,1,2016-12-15T13:39:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
54.64704,19.90765,23,77,81,20,BALTIYSK,RU,28,0,RB-394,3,351107,8,13,2,NA,NA,1,2016-12-15T13:41:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,0
