LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.72104,21.10332,100,305,511,1,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T11:35:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72754,21.08066,135,286,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:39:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72787,21.07191,80,279,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:41:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72802,21.0642,83,272,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:43:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72822,21.05648,38,300,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:45:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72806,21.05236,83,260,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:47:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72808,21.04209,73,284,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:49:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72801,21.0372,77,265,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:51:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.7279,21.02957,49,279,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:53:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72802,21.02553,74,269,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:55:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72749,21.01702,71,244,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:57:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72687,21.00901,70,268,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T11:59:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72592,20.99938,85,244,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:01:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72529,20.99484,90,256,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:03:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72474,20.98538,80,268,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:05:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72466,20.97669,76,259,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T12:07:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72717,20.98735,65,30,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T12:11:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72838,21.01335,174,92,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:15:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72823,21.02282,184,91,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:17:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72835,21.04212,176,85,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:19:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72843,21.0579,172,84,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:21:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72802,21.07222,98,106,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:23:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72822,21.07785,140,105,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:25:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.71764,21.10474,168,152,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T12:29:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.70981,21.11227,107,155,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-13T12:31:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.69953,21.12181,91,141,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T12:35:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.69953,21.12181,91,141,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T12:37:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.69039,21.13235,97,145,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T12:39:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67887,21.13938,107,161,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T15:57:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.66573,21.14654,124,161,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T16:01:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.66481,21.14841,46,8,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-13T16:03:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.66428,21.14779,85,79,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:17:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.66457,21.14887,41,174,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:19:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.66457,21.14887,41,174,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:21:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.69262,21.12984,159,332,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T16:29:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.7022,21.12176,61,355,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:31:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72809,21.08469,208,294,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:43:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72482,21.09129,54,131,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:47:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72118,21.10086,56,134,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:51:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72213,21.09849,49,139,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T16:59:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71892,21.10229,40,213,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T17:19:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71124,21.11458,134,140,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T17:21:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71124,21.11458,134,140,511,4,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T17:23:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70683,21.12059,59,147,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T17:25:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70695,21.1206,61,325,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T17:27:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72203,21.09929,211,126,511,1,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T17:43:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72247,21.09772,68,316,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T18:07:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72589,21.09102,12,290,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T18:11:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72589,21.09102,12,290,511,4,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T18:13:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72601,21.08999,46,305,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T18:15:08.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72736,21.08356,105,133,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T18:17:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72167,21.09959,191,126,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T18:19:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71725,21.11088,140,140,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T18:57:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71013,21.11729,184,159,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T19:09:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70389,21.12153,96,159,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T19:11:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70121,21.12349,96,161,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T19:13:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.69223,21.13062,214,153,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T19:15:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.69197,21.12992,186,328,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T19:49:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.69197,21.12992,186,328,511,5,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T19:51:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.69197,21.12992,186,328,511,7,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T19:53:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.69197,21.12992,186,328,511,9,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T19:55:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72799,21.07304,86,264,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:01:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72816,21.06014,118,272,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:03:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72867,21.04913,109,275,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:05:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72894,21.04324,113,273,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:07:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72999,21.0272,114,284,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:09:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.73025,21.02078,105,276,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:11:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72409,21.00711,138,258,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T20:15:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72807,21.03146,175,92,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T20:19:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72871,21.06235,179,90,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T20:23:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72789,21.08207,192,103,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T20:25:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71241,21.11278,133,150,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:29:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70853,21.11779,83,142,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,1,2016-12-14T20:31:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70661,21.12027,67,139,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T20:33:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70564,21.12204,5,276,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T20:35:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70722,21.11975,61,341,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T20:37:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72639,21.09007,105,292,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T21:01:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72008,21.10212,207,143,511,3,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T21:07:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72836,21.06816,126,279,511,2,,LT,15,0,PILOT DANGE,3,353342,4,9,2,NA,NA,0,2016-12-14T21:29:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
