LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.70092,21.1251,67,315,323,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T12:31:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.70507,21.1194,91,325,330,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T12:33:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.70995,21.11432,93,328,333,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,1,2016-12-13T12:35:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.70995,21.11432,93,328,333,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,1,2016-12-13T12:37:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.71952,21.10478,93,326,331,1,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T12:39:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72177,21.10307,79,343,344,2,KLAIPEDA,LT,28,-720,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T12:41:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.6871,21.13388,62,154,160,1,KLAIPEDA,LT,28,720,TAK-6,3,353534,10,14,5,122,54,1,2016-12-13T13:09:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68378,21.13607,52,329,321,2,KLAIPEDA,LT,28,-720,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T13:13:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67615,21.14137,62,318,330,1,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T14:11:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67615,21.14137,62,318,330,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T14:13:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68395,21.13497,98,337,343,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,1,2016-12-13T14:15:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68948,21.13103,100,341,346,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T14:17:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.70045,21.12655,81,22,61,2,KLAIPEDA,LT,28,720,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T14:21:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68845,21.13182,74,167,172,2,KLAIPEDA,LT,28,0,TAK-6,3,353534,10,14,5,122,54,0,2016-12-13T18:45:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
