LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.71163,21.11533,81,301,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,1,2016-12-14T12:25:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71542,21.1096,85,321,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T12:27:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71745,21.10697,84,324,511,3,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T12:29:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72595,21.09043,87,304,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T12:33:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72882,21.08282,77,299,511,1,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,1,2016-12-14T12:35:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.7289,21.08143,4,233,511,1,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T12:37:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,1
55.7289,21.08143,4,233,511,1,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T12:39:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,1
55.72798,21.08198,33,129,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,1,2016-12-14T12:41:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.72172,21.10163,79,138,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T13:27:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.7181,21.1069,82,143,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T13:29:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71438,21.11215,81,136,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T13:31:05.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71735,21.10997,7,291,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T22:03:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71735,21.10997,7,291,511,4,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T22:05:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71698,21.1121,0,323,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T22:23:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,1
55.71698,21.1121,0,323,511,4,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T22:25:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,1
55.71693,21.11218,0,132,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T22:27:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,1
55.71693,21.11218,0,132,511,4,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T22:29:05.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,1
55.71657,21.11228,36,148,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-14T22:31:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.71228,21.11642,80,146,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,1,2016-12-14T22:33:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Tug,Klaipeda,0
55.70633,21.11933,70,163,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T10:55:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.70633,21.11933,70,163,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T10:57:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.6798,21.1373,80,158,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T11:09:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.67743,21.13892,79,159,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,1,2016-12-15T11:11:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.66768,21.14547,7,163,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T11:53:08.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.68013,21.13908,82,342,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T12:05:08.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.68525,21.13578,85,339,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,1,2016-12-15T12:07:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.69227,21.13057,86,334,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T12:11:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.6968,21.12675,85,337,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T12:13:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.70137,21.12335,83,333,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T12:15:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.70575,21.12012,81,338,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T12:17:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.71037,21.11877,78,355,511,2,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T12:19:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
55.71037,21.11877,78,355,511,4,,LT,29,0,KLASCO2,3,353536,10,14,6,110,54,0,2016-12-15T12:21:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Tug,Klaipeda,0
