LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.68559,21.13245,79,339,511,3,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,1,2016-12-19T08:01:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.68929,21.12919,76,327,511,3,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:03:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.69526,21.12415,81,337,511,2,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:05:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.69749,21.1225,82,337,511,3,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:07:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.70185,21.11924,85,340,511,3,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:09:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.70212,21.11864,68,147,511,2,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:11:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.69953,21.1211,69,151,511,2,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:13:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.69104,21.12764,69,155,511,2,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:17:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.69104,21.12764,69,155,511,4,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:19:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.68429,21.13319,67,161,511,2,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,1,2016-12-19T08:21:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.68429,21.13319,67,161,511,2,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,1,2016-12-19T08:23:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.67965,21.13538,70,165,511,3,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,1,2016-12-19T08:25:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.67329,21.13566,81,190,511,1,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:27:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.67003,21.1343,79,199,511,3,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:29:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.6753,21.13594,81,7,511,1,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:31:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.6753,21.13594,81,7,511,1,CLASS B,LT,14,NA,MUSHA,3,353542,4,5,1,NA,NA,0,2016-12-19T08:33:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
