LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.73117,20.80119,92,88,90,2,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:19:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73129,20.80607,97,90,91,2,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:21:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73167,20.81659,93,85,87,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:23:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73203,20.82726,100,85,89,2,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:25:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.7321,20.83787,95,88,95,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:27:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.7321,20.84323,99,89,94,3,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:29:13.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.7319,20.8534,87,92,95,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:31:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73166,20.86408,100,89,94,2,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:33:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73145,20.87382,89,91,94,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:35:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.731,20.88448,95,95,100,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:37:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.731,20.88448,95,95,100,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:39:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.7299,20.90072,99,97,100,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:41:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72924,20.91095,91,96,99,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:43:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72887,20.91656,98,98,102,3,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:45:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72887,20.91656,98,98,102,3,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:47:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72823,20.93749,100,91,95,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:49:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72823,20.93749,100,91,95,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:51:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72775,20.95555,75,92,97,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:53:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72758,20.95999,75,93,95,1,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:55:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73049,20.97022,74,54,56,1,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:57:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73167,20.97354,74,54,60,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T21:59:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73415,20.98067,70,60,61,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:01:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73609,20.98703,65,76,70,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:03:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73754,20.9932,63,64,68,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:05:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73867,20.99957,62,95,93,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:07:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73868,21.00456,65,91,90,2,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:09:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73868,21.00456,65,91,90,2,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:11:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73879,21.01049,20,75,86,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:13:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73882,21.0127,18,106,85,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:15:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73869,21.0146,21,79,99,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:17:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73825,21.01641,18,131,117,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:19:15.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73764,21.01829,24,135,118,1,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:21:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73764,21.01829,24,135,118,1,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:23:13.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73637,21.0232,34,119,117,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:25:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73489,21.02831,78,116,120,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:27:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.73358,21.03246,109,119,121,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:29:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72988,21.04256,114,122,124,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:31:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72988,21.04256,114,122,124,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:33:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72824,21.06781,113,92,95,2,,LT,60,-720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:35:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72817,21.07904,110,94,100,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:37:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72723,21.08455,110,112,117,3,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:39:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72507,21.09285,85,122,126,1,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:41:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.72195,21.09994,83,133,135,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:43:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.71335,21.1112,86,151,156,2,,LT,60,720,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:47:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.70847,21.11542,84,154,157,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:49:22.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.70621,21.11729,84,157,160,0,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T22:51:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.70161,21.12066,87,157,160,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:53:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.69697,21.12428,85,155,158,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:55:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.69238,21.12789,87,157,159,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:57:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.68781,21.13164,86,153,157,2,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,0,2016-12-19T22:59:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
55.68318,21.13569,88,155,157,1,,LT,60,0,NATO WARSHIP M53,3,3656084,9,19,4,NA,NA,1,2016-12-19T23:01:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tug,Klaipeda,0
