LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.67994,21.13389,2,54,511,2,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:31:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67994,21.13389,2,54,511,2,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:33:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13388,1,71,511,2,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:35:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13388,2,65,511,2,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:37:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13388,2,65,511,4,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:39:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13388,1,65,511,3,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:41:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13386,1,65,511,2,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:43:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13386,1,65,511,4,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:45:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13386,1,65,511,6,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:47:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13386,1,65,511,8,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:49:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13386,1,65,511,9,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:51:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
55.67995,21.13388,2,24,511,3,CLASS B,LT,32,NA,T-2,3,3751563,4,22,2,NA,NA,1,2016-12-13T11:53:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,1
