LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.39937,18.69484,0,277,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69482,0,276,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69482,0,276,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69487,0,273,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39938,18.69487,0,284,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39938,18.69487,0,284,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69481,1,304,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69481,1,304,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39939,18.69484,0,311,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39936,18.69481,1,308,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69478,0,302,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69478,0,302,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69478,0,322,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69478,0,322,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39936,18.69479,1,335,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.6948,1,349,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.6948,1,349,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39936,18.69478,0,346,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69481,1,343,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69481,0,344,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69481,0,344,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39936,18.69482,0,347,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69482,0,346,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69482,0,346,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69481,0,350,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39939,18.6948,0,356,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39939,18.6948,0,356,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69483,0,4,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69483,0,4,511,5,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39935,18.69483,0,4,511,7,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39939,18.69485,0,26,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39942,18.69489,1,46,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39942,18.69489,1,46,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69484,0,69,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39936,18.69487,0,84,511,2,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39936,18.69487,0,84,511,4,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39937,18.69484,0,93,511,3,CLASS B,PL,22,NA,STRAZAK 6,3,3851201,6,8,3,NA,NA,0,2016-12-13T12:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
