LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.60206,18.80045,3,64,511,3,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,0,2016-12-17T15:31:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,1
54.60206,18.80045,3,64,511,5,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,0,2016-12-17T15:33:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,1
54.60152,18.80172,63,162,511,2,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:35:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
54.5994,18.8002,124,216,511,3,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:37:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
54.59626,18.78936,171,254,511,3,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:39:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
54.59288,18.77585,241,249,511,4,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:41:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
54.58226,18.74365,261,239,511,3,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:43:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
54.57276,18.71719,264,238,511,2,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:45:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
54.56683,18.70122,264,240,511,3,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:47:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
54.55739,18.67402,264,237,511,2,CLASS B,PL,10,NA,BUMER,3,4002191,4,5,2,NA,NA,1,2016-12-17T15:49:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tug,Gdańsk,0
