LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.72776,21.05418,78,247,245,3,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:31:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72776,21.05418,78,247,245,3,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:33:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.72251,21.03693,86,240,242,1,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:35:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.71991,21.02908,86,240,241,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:37:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.71845,21.02495,82,238,241,2,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:39:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.7154,21.01602,86,238,242,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:41:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.71396,21.01167,88,240,243,3,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:43:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.71062,21.00103,88,241,243,2,KLAIREDA,KN,97,720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:45:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.7085,20.99417,87,242,244,2,KLAIREDA,KN,97,720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:47:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.7057,20.985,83,242,244,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:49:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.7057,20.985,83,242,244,3,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:51:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.70167,20.97159,85,242,243,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:53:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.70015,20.96653,89,239,244,3,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:55:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.69715,20.95629,91,242,243,2,KLAIREDA,KN,97,720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:57:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.69542,20.95056,86,241,243,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T11:59:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.69277,20.94201,83,240,242,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:01:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.69009,20.93381,83,241,242,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:03:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68872,20.92969,84,239,242,3,KLAIREDA,KN,97,720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:05:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68547,20.91944,83,240,241,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:07:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68416,20.91519,84,241,242,3,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:09:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.68136,20.90618,76,240,239,2,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:11:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67994,20.90199,74,241,242,3,KLAIREDA,KN,97,720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:13:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67753,20.89457,72,237,243,2,KLAIREDA,KN,97,720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:15:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67496,20.88647,72,241,241,2,KLAIREDA,KN,97,720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:17:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67363,20.88244,73,240,241,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:19:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.67108,20.87444,67,240,241,2,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:21:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.66982,20.87066,68,238,242,2,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:23:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.66721,20.86271,69,240,241,1,KLAIREDA,KN,97,0,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:25:08.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
55.66607,20.85928,66,239,241,2,KLAIREDA,KN,97,-720,POSEIDON I,3,403149,18,80,10,5254,73,1,2016-12-13T12:27:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tug,Klaipeda,0
