LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.00909,20.23728,42,87,94,3,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T04:51:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,3,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T04:53:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,5,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T04:55:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,5,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T04:57:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,9,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T04:59:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,11,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:01:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,13,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:03:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,15,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:05:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,17,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:07:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,19,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:09:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.00997,20.24178,39,59,50,19,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:11:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.01358,20.27984,43,65,51,2,BALTIYSK,RU,162,720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:13:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.01358,20.27984,43,65,51,4,BALTIYSK,RU,162,720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:15:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.01358,20.27984,43,65,51,6,BALTIYSK,RU,162,720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:17:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.01358,20.27984,43,65,51,8,BALTIYSK,RU,162,720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:19:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.01215,20.29529,40,104,119,2,BALTIYSK,RU,162,0,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:21:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.01193,20.29786,40,94,104,3,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:23:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
55.01202,20.30052,40,81,85,3,BALTIYSK,RU,162,-720,FORTUNA,3,4677206,46,20,36,NA,NA,1,2016-12-18T05:25:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Tug,Kalingrad,0
