LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.99751,11.75487,186,208,511,3,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.98593,11.74193,186,208,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.97731,11.73163,185,213,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.96867,11.72114,187,212,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:39:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.95872,11.70883,184,215,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:41:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.95872,11.70883,184,215,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:43:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.94043,11.68542,187,215,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:45:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.93623,11.67973,187,217,511,3,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:47:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.92884,11.66411,184,239,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:49:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.92488,11.64102,191,262,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:51:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.92393,11.62927,190,262,511,3,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:53:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
57.92087,11.60161,188,257,511,2,UDDEVALLA,GB,14,0,TAMINA SPIRIT,0,194104,6,7,3,NA,NA,1,2016-12-14T11:55:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Unspecified,gothenborg,0
