LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.39916,18.68007,63,201,204,2,KALININGRAD,PL,22,720,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T13:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.39632,18.67676,57,221,218,2,KALININGRAD,PL,22,720,KONTROLER 20,0,316546,6,16,3,NA,NA,1,2016-12-13T13:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.3952,18.67489,42,225,221,3,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T13:59:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.3932,18.67227,51,210,207,2,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T14:01:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.3932,18.67227,51,210,207,2,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T14:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.39131,18.67152,52,77,37,2,KALININGRAD,PL,22,-720,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.3934,18.67384,87,31,33,3,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,1,2016-12-13T18:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.39495,18.67577,2,288,46,3,KALININGRAD,PL,22,-720,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,1
54.39669,18.67806,66,35,34,2,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,1,2016-12-13T18:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.40042,18.68106,80,6,4,2,KALININGRAD,PL,22,-720,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.40478,18.66962,81,283,281,2,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.40731,18.66349,60,327,327,2,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.40862,18.6611,50,199,177,2,KALININGRAD,PL,22,-720,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.40579,18.66438,73,117,114,2,KALININGRAD,PL,22,-720,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.40428,18.6706,71,98,99,2,KALININGRAD,PL,22,0,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
54.40322,18.67754,72,114,117,2,KALININGRAD,PL,22,720,KONTROLER 20,0,316546,6,16,3,NA,NA,0,2016-12-13T18:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Unspecified,Gdańsk,0
