LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.71633,11.97167,56,53,55,2,,SE,17,13,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:13:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.718,11.97667,57,57,58,2,,SE,17,0,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:15:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.718,11.97667,57,57,58,2,,SE,17,0,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:15:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.71983,11.9815,59,50,51,2,,SE,17,-1,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.71983,11.9815,59,50,51,2,,SE,17,-1,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:17:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.72133,11.98167,42,313,318,3,,SE,17,-9,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.72133,11.98167,42,313,318,3,,SE,17,-9,SOUND CASTOR,0,320779,6,7,3,NA,NA,0,2016-12-13T13:19:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.719,11.9785,77,239,238,2,,SE,17,-14,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.719,11.9785,77,239,238,2,,SE,17,-14,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.71567,11.9705,76,220,218,2,,SE,17,-16,SOUND CASTOR,0,320779,6,7,3,NA,NA,1,2016-12-13T13:33:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
