LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.7209,11.98238,34,1,511,2,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,0,2016-12-19T08:25:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.7209,11.98238,34,1,511,2,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,0,2016-12-19T08:25:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.7209,11.98238,34,1,511,4,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,0,2016-12-19T08:27:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.7209,11.98238,34,1,511,4,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,0,2016-12-19T08:27:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.72177,11.98145,10,33,511,3,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,1,2016-12-19T08:29:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.72178,11.98145,13,213,511,1,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,1,2016-12-19T08:31:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.72178,11.98145,13,213,511,4,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,1,2016-12-19T08:33:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.72189,11.98093,5,205,511,3,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,1,2016-12-19T08:35:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.72189,11.98093,5,205,511,3,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,0,2016-12-19T08:35:08.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.72189,11.98093,5,205,511,5,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,0,2016-12-19T08:37:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
57.72189,11.98093,5,205,511,5,GOTHENBURG,SE,0,0,0,0,323091,0,0,0,NA,NA,0,2016-12-19T08:37:08.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Unspecified,gothenborg,0
