LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70616,11.66012,52,111,106,2,SM0GEN,GB,19,-720,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.70655,11.66749,83,42,36,2,SM0GEN,GB,19,-720,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.71183,11.66821,98,353,353,1,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.7154,11.66738,96,347,348,2,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.71844,11.66636,98,351,351,3,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.72639,11.66469,105,356,354,2,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.73347,11.66412,75,355,353,2,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.7377,11.66362,81,357,357,1,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.74004,11.6635,98,356,355,1,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.74723,11.66168,105,350,347,2,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.75343,11.65968,105,349,347,2,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.75343,11.65968,105,349,347,2,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.76215,11.65552,101,340,338,1,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.76876,11.65106,101,340,337,0,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
57.77497,11.64723,102,343,340,2,SM0GEN,GB,19,0,NORTHERN WIND,0,3481171,5,7,3,NA,NA,1,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Unspecified,gothenborg,0
