LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92182,30.00003,74,114,112,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:15:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.92182,30.00003,74,114,112,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:15:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.92015,30.00839,75,111,109,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:17:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.92109,30.00391,75,110,111,1,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:17:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.91843,30.01662,73,114,111,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:19:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.91843,30.01662,73,114,111,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:19:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.91689,30.02409,69,116,122,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:21:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.91689,30.02409,69,116,122,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:21:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.91536,30.03181,73,110,112,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:23:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
59.91536,30.03181,73,110,112,2,,RU,26,0,RB-27,0,351136,9,12,3,NA,NA,1,2016-12-15T13:23:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Unspecified,St. Petersburg,0
